actual \ predicted,asm,batch,c,clojure,cmake,cobol,cpp,cs,css,dart,dockerfile,elixir,erlang,gemfile,gemspec,go,gradle,groovy,haskell,html,ini,java,javascript,json,julia,kotlin,lisp,lua,markdown,objectivec,ocaml,perl,php,powershell,python,r,ruby,rust,scala,shell,sql,swift,toml,typescript,vba,verilog,xml,yaml,actual_total,actual_recall
asm,3783,26,29,0,4,4,8,1,1,0,0,4,1,1,0,0,0,0,0,4,29,0,2,0,0,0,2,1,5,7,3,6,2,3,0,18,2,0,0,0,2,0,0,0,2,10,1,7,3968,0.953377016
batch,9,3767,5,1,12,3,0,2,0,0,1,0,0,0,0,0,0,1,1,0,29,1,5,0,1,0,0,1,20,0,0,3,0,26,0,3,1,0,0,81,4,0,0,0,1,1,0,2,3981,0.946244662
c,25,14,5797,0,2,0,403,11,1,4,0,0,0,0,0,0,0,0,0,3,4,7,3,1,3,0,0,1,5,33,1,2,0,0,0,0,0,0,0,2,1,5,0,0,1,5,0,0,6334,0.915219451
clojure,2,2,0,3886,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,2,0,0,8,0,0,30,0,2,1,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3941,0.986044151
cmake,16,12,11,1,7281,0,7,1,0,0,1,1,0,1,0,0,1,0,0,0,10,0,1,1,3,0,12,5,23,0,1,0,0,13,0,6,1,0,0,27,0,0,0,0,0,0,1,19,7456,0.976528970
cobol,13,0,0,0,0,185,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,198,0.934343434
cpp,7,9,449,0,5,1,2804,22,1,6,0,0,1,0,0,1,0,1,0,2,2,10,6,1,0,0,0,0,6,8,0,1,1,3,0,0,0,2,0,2,1,0,0,2,0,1,1,0,3356,0.835518474
cs,0,9,1,0,0,0,2,3938,0,1,0,0,0,0,0,0,0,4,0,0,0,34,1,0,0,0,0,0,3,0,0,0,0,2,0,0,0,0,1,1,0,0,0,2,0,0,0,0,3999,0.984746187
css,5,15,6,1,0,0,0,1,3925,0,0,0,0,0,0,0,0,0,0,7,11,0,3,0,0,0,1,0,9,1,0,1,0,2,0,0,0,1,0,0,0,0,0,1,0,1,0,8,3999,0.981495374
dart,0,0,5,0,1,0,6,3,0,3906,0,0,0,0,0,1,0,14,0,4,0,16,8,0,0,0,0,0,3,2,0,0,0,0,1,0,0,1,0,0,0,1,0,25,0,3,0,0,4000,0.976500000
